# Listed companies matched to week 4 clients and filing firms by exact normalized name; SIC from the SEC submissions API, NAICS sector by week04_sec.sector_of_sic().
key,cik,ticker,sec_name,sic,sic_description,naics2,filings
Paychex,0000723531,PAYX,PAYCHEX INC,8700,"Services-Engineering, Accounting, Research, Management",54,314
FEIN 043360747,0001531152,BJ,"BJ's Wholesale Club Holdings, Inc.",5331,Retail-Variety Stores,44-45,313
FEIN 474903308,0001717115,TEM,"Tempus AI, Inc.",7370,"Services-Computer Programming, Data Processing, Etc.",54,312
Moody's,0001059556,MCO,MOODYS CORP /DE/,7320,"Services-Consumer Credit Reporting, Collection Agencies",56,310
3M,0000066740,MMM,3M CO,3841,Surgical & Medical Instruments & Apparatus,31-33,308
FEIN 042866152,0000857005,PTC,PTC INC.,7372,Services-Prepackaged Software,51,306
FEIN 274306690,0001522540,MQ,"Marqeta, Inc.",7372,Services-Prepackaged Software,51,303
FEIN 042372210,0001053706,CRAI,"CRA INTERNATIONAL, INC.",8111,Services-Legal Services,54,301
FEIN 473100039,0001642896,IOT,Samsara Inc.,7373,Services-Computer Integrated Systems Design,54,294
FEIN 510123924,0000845982,SNN,SMITH & NEPHEW PLC,3842,"Orthopedic, Prosthetic & Surgical Appliances & Supplies",31-33,294
FEIN 590739250,0000085961,R,RYDER SYSTEM INC,7510,Services-Auto Rental & Leasing (No Drivers),81,294
FEIN 770534145,0001107843,QLYS,"QUALYS, INC.",7372,Services-Prepackaged Software,51,288
Carrier,0001783180,CARR,CARRIER GLOBAL Corp,3585,Air-Cond & Warm Air Heatg Equip & Comm & Indl Refrig Equip,31-33,287
Global Payments,0001123360,GPN,GLOBAL PAYMENTS INC,7389,"Services-Business Services, NEC",56,287
CenterPoint Energy,0001130310,CNP,CENTERPOINT ENERGY INC,4911,Electric Services,22,286
Parker Hannifin,0000076334,PH,Parker-Hannifin Corp,3490,Miscellaneous Fabricated Metal Products,31-33,285
Tapestry,0001116132,TPR,"TAPESTRY, INC.",3100,Leather & Leather Products,31-33,282
FEIN 814788063,0001823593,TSPH,TuSimple Holdings Inc.,7373,Services-Computer Integrated Systems Design,54,282
FEIN 043523891,0001145197,PODD,INSULET CORP,3841,Surgical & Medical Instruments & Apparatus,31-33,280
FEIN 043099750,0000749251,IT,GARTNER INC,8741,Services-Management Services,54,279
COMPASS,0001563190,COMP,"Compass, Inc.",6531,Real Estate Agents & Managers (For Others),53,278
FEIN 591562976,0000815097,CCL,Carnival Corp Ltd.,4400,Water Transportation,48-49,277
CBRE,0001138118,CBRE,"CBRE GROUP, INC.",6500,Real Estate,53,275
Assurant,0001267238,AIZ,"ASSURANT, INC.",6399,"Insurance Carriers, NEC",52,274
FEIN 541000588,0001032220,MMS,"MAXIMUS, INC.",7389,"Services-Business Services, NEC",56,272
First Horizon,0000036966,FHN,FIRST HORIZON CORP,6021,National Commercial Banks,52,271
Phillips 66,0001534701,PSX,Phillips 66,2911,Petroleum Refining,31-33,270
FEIN 942802192,0000864749,TRMB,TRIMBLE INC.,3829,"Measuring & Controlling Devices, NEC",31-33,269
American Electric Power,0000004904,AEP,AMERICAN ELECTRIC POWER CO INC,4911,Electric Services,22,268
FEIN 941381833,0000012208,BIO,"BIO-RAD LABORATORIES, INC.",3826,Laboratory Analytical Instruments,31-33,266
FEIN 330857544,0001093557,DXCM,DEXCOM INC,3841,Surgical & Medical Instruments & Apparatus,31-33,265
FEIN 381886260,0000898293,JBL,JABIL INC,3672,Printed Circuit Boards,31-33,265
FEIN 330174996,0000797721,VSAT,VIASAT INC,4899,"Communications Services, NEC",51,262
FEIN 208782926,0001837240,SYM,Symbotic Inc.,3569,"General Industrial Machinery & Equipment, NEC",31-33,259
FEIN 382511577,0001286681,DPZ,DOMINOS PIZZA INC,5140,Wholesale-Groceries & Related Products,42,258
Unum,0000005513,UNM,Unum Group,6321,Accident & Health Insurance,52,257
National Grid,0001004315,NGG,NATIONAL GRID PLC,4922,Natural Gas Transmission,22,256
Eversource Energy,0000072741,ES,EVERSOURCE ENERGY,4911,Electric Services,22,255
DTE Energy,0000936340,DTE,DTE ENERGY CO,4911,Electric Services,22,253
FEIN 610502302,0000029534,DG,DOLLAR GENERAL CORP,5331,Retail-Variety Stores,44-45,252
FEIN 160393470,0000024741,GLW,CORNING INC /NY,3357,Drawing & Insulating of  Nonferrous Wire,31-33,250
FEIN 454788036,0001690820,CVNA,CARVANA CO.,5500,Retail-Auto Dealers & Gasoline Stations,44-45,250
FEIN 261429475,0001758730,TW,Tradeweb Markets Inc.,6200,"Security & Commodity Brokers, Dealers, Exchanges & Services",52,248
Marathon Petroleum,0001510295,MPC,Marathon Petroleum Corp,2911,Petroleum Refining,31-33,247
FEIN 470684736,0000821189,EOG,EOG RESOURCES INC,1311,Crude Petroleum & Natural Gas,21,243
FEIN 752303920,0000860731,TYL,TYLER TECHNOLOGIES INC,7372,Services-Prepackaged Software,51,243
FEIN 410251095,0000823277,CHSCP,CHS INC,5150,Wholesale-Farm Product Raw Materials,42,242
FEIN 260331862,0001638826,TTAN,"ServiceTitan, Inc.",7372,Services-Prepackaged Software,51,241
FEIN 461141117,0002063196,NTSK,Netskope Inc,7372,Services-Prepackaged Software,51,239
FEIN 133068979,0001793229,CTEV,Claritev Corp,7389,"Services-Business Services, NEC",56,239
Chubb,0000896159,CB,Chubb Ltd,6331,"Fire, Marine & Casualty Insurance",52,237
FEIN 223447504,0001169561,CVLT,COMMVAULT SYSTEMS INC,7372,Services-Prepackaged Software,51,235
FEIN 530181291,0001140536,WTW,WILLIS TOWERS WATSON PLC,6411,"Insurance Agents, Brokers & Service",52,234
FEIN 201854266,0001345016,YELP,YELP INC,7200,Services-Personal Services,81,234
FEIN 521604305,0000851968,MHK,MOHAWK INDUSTRIES INC,2273,Carpets & Rugs,31-33,233
FEIN 911011792,0000780571,ITRI,"ITRON, INC.",3825,Instruments For Meas & Testing of  Electricity & Elec Signals,31-33,232
FEIN 132721761,0000919012,AEO,AMERICAN EAGLE OUTFITTERS INC,5651,Retail-Family Clothing Stores,44-45,232
FEIN 363310735,0001402057,CDW,CDW Corp,5961,Retail-Catalog & Mail-Order Houses,44-45,230
FEIN 420991521,0001069202,LII,LENNOX INTERNATIONAL INC,3585,Air-Cond & Warm Air Heatg Equip & Comm & Indl Refrig Equip,31-33,227
FEIN 453055872,0001562088,DUOL,"Duolingo, Inc.",7372,Services-Prepackaged Software,51,227
FEIN 943322844,0001384905,RNG,"RingCentral, Inc.",7374,Services-Computer Processing & Data Preparation,54,226
FEIN 863936742,0000055785,KMB,KIMBERLY CLARK CORP,2670,Converted Paper & Paperboard Prods (No Contaners/Boxes),31-33,223
Xerox,0001770450,XRX,Xerox Holdings Corp,3577,"Computer Peripheral Equipment, NEC",31-33,222
FEIN 381999511,0000885550,CACC,CREDIT ACCEPTANCE CORP,6141,Personal Credit Institutions,52,220
FEIN 870617894,0001158463,JBLU,JETBLUE AIRWAYS CORP,4512,"Air Transportation, Scheduled",48-49,217
FEIN 132622036,0001037038,RL,RALPH LAUREN CORP,2320,"Men's & Boys' Furnishgs, Work Clothg, & Allied Garments",31-33,216
FEIN 510323571,0001050446,MSTR,Strategy Inc,6199,Finance Services,52,215
FEIN 770181864,0000849399,GEN,Gen Digital Inc.,7372,Services-Prepackaged Software,51,214
FEIN 271887399,0001671933,TTD,"Trade Desk, Inc.",7370,"Services-Computer Programming, Data Processing, Etc.",54,214
FEIN 361150280,0000277135,GWW,"W.W. GRAINGER, INC.",5000,Wholesale-Durable Goods,42,213
FEIN 381510762,0000055135,KELYA,KELLY SERVICES INC,7363,Services-Help Supply Services,56,213
Sysco,0000096021,SYY,SYSCO CORP,5140,Wholesale-Groceries & Related Products,42,211
FEIN 454139254,0001576280,GH,"Guardant Health, Inc.",8071,Services-Medical Laboratories,62,211
FEIN 060495050,0000078814,PBI,PITNEY BOWES INC /DE/,3579,"Office Machines, NEC",31-33,210
Exelon,0001109357,EXC,EXELON CORP,4931,Electric & Other Services Combined,22,208
FEIN 471039071,0001594805,SHOP,SHOPIFY INC.,7372,Services-Prepackaged Software,51,206
FEIN 204898921,0001370637,ETSY,ETSY INC,7389,"Services-Business Services, NEC",56,206
Conduent,0001677703,CNDT,CONDUENT Inc,7389,"Services-Business Services, NEC",56,203
FEIN 823437062,0001736297,ALAB,"Astera Labs, Inc.",3674,Semiconductors & Related Devices,31-33,202
FEIN 042272148,0000097210,TER,"TERADYNE, INC",3825,Instruments For Meas & Testing of  Electricity & Elec Signals,31-33,201
FEIN 462843087,0001579878,FIG,"Figma, Inc.",7372,Services-Prepackaged Software,51,201
Xcel Energy,0000072903,XEL,XCEL ENERGY INC,4931,Electric & Other Services Combined,22,200
FEIN 050605598,0001321732,PEN,Penumbra Inc,3841,Surgical & Medical Instruments & Apparatus,31-33,198
FEIN 410216800,0000027996,DLX,DELUXE CORP,2780,"Blankbooks, Looseleaf Binders & Bookbindg & Relatd Work",31-33,198
FEIN 380387840,0000746838,UIS,UNISYS CORP,7373,Services-Computer Integrated Systems Design,54,198
FEIN 133362547,0001013237,FDS,FACTSET RESEARCH SYSTEMS INC,7370,"Services-Computer Programming, Data Processing, Etc.",54,197
FEIN 473424780,0001639723,NAVN,"Navan, Inc.",7372,Services-Prepackaged Software,51,197
FEIN 861182761,0001867072,KD,"Kyndryl Holdings, Inc.",7373,Services-Computer Integrated Systems Design,54,196
FEIN 943136539,0000879169,INCY,INCYTE CORP,8731,Services-Commercial Physical & Biological Research,54,195
FEIN 133357362,0000885639,KSS,KOHLS Corp,5311,Retail-Department Stores,44-45,194
FEIN 134941099,0000009631,BNS,BANK OF NOVA SCOTIA,6022,State Commercial Banks,52,193
FEIN 800885860,0001951070,MH,"McGraw Hill, Inc.",2741,Miscellaneous Publishing,31-33,193
FEIN 454168768,0001650164,TOST,"Toast, Inc.",7374,Services-Computer Processing & Data Preparation,54,192
FEIN 133386776,0000842162,LEA,LEAR CORP,3714,Motor Vehicle Parts & Accessories,31-33,192
FEIN 411857431,0000931015,PII,Polaris Inc.,3790,Miscellaneous Transportation Equipment,31-33,192
FEIN 411941551,0001101302,ENTG,ENTEGRIS INC,3089,"Plastics Products, NEC",31-33,191
FEIN 463584674,0001883685,DKNG,DraftKings Inc.,7990,Services-Miscellaneous Amusement & Recreation,71,191
FEIN 461065454,0001842726,LSEGY,London Stock Exchange Group plc,,,,189
Hanover Insurance,0000944695,THG,"HANOVER INSURANCE GROUP, INC.",6331,"Fire, Marine & Casualty Insurance",52,189
FEIN 454343781,0001703056,ADT,ADT Inc.,7381,"Services-Detective, Guard & Armored Car Services",56,188
FEIN 364815718,0001651308,ONC,BeOne Medicines Ltd.,2834,Pharmaceutical Preparations,31-33,187
Mondelez,0001103982,MDLZ,"Mondelez International, Inc.",2000,Food and Kindred Products,31-33,186
TRINET,0000937098,TNET,"TRINET GROUP, INC.",7389,"Services-Business Services, NEC",56,186
FEIN 770353939,0001375365,SMCI,"Super Micro Computer, Inc.",3571,Electronic Computers,31-33,183
FEIN 770565408,0001664703,BE,Bloom Energy Corp,3620,Electrical Industrial Apparatus,31-33,182
FEIN 753263336,0001846069,NXDR,"Nextdoor Holdings, Inc.",7370,"Services-Computer Programming, Data Processing, Etc.",54,181
FEIN 650716904,0001060391,RSG,"REPUBLIC SERVICES, INC.",4953,Refuse Systems,22,180
FEIN 954035997,0000797468,OXY,OCCIDENTAL PETROLEUM CORP /DE/,1311,Crude Petroleum & Natural Gas,21,180
FEIN 043843478,0001494259,CARG,"CarGurus, Inc.",7374,Services-Computer Processing & Data Preparation,54,180
FEIN 474333187,0001734722,PATH,"UiPath, Inc.",7372,Services-Prepackaged Software,51,177
FEIN 311188630,0000723254,CTAS,CINTAS CORP,2320,"Men's & Boys' Furnishgs, Work Clothg, & Allied Garments",31-33,176
FEIN 731636261,0001611052,PCOR,"PROCORE TECHNOLOGIES, INC.",7372,Services-Prepackaged Software,51,176
FEIN 204623678,0001274494,FSLR,"FIRST SOLAR, INC.",3674,Semiconductors & Related Devices,31-33,174
FEIN 161241537,0001089063,DKS,"DICK'S SPORTING GOODS, INC.",5940,Retail-Miscellaneous Shopping Goods Stores,44-45,174
FEIN 042787865,0001013857,PEGA,PEGASYSTEMS INC,7374,Services-Computer Processing & Data Preparation,54,174
FEIN 721074903,0001175454,CPAY,"CORPAY, INC.",7389,"Services-Business Services, NEC",56,173
FEIN 363873352,0001015328,WTFC,WINTRUST FINANCIAL CORP,6022,State Commercial Banks,52,171
FEIN 455614458,0001770787,TXG,"10x Genomics, Inc.",3826,Laboratory Analytical Instruments,31-33,170
FEIN 460989964,0001835830,KVYO,"Klaviyo, Inc.",7372,Services-Prepackaged Software,51,170
FEIN 030479476,0001314727,SONO,Sonos Inc,3651,Household Audio & Video Equipment,31-33,170
FEIN 941648752,0000315213,RHI,ROBERT HALF INC.,7363,Services-Help Supply Services,56,169
FEIN 263039436,0001666071,CDLX,"Cardlytics, Inc.",7370,"Services-Computer Programming, Data Processing, Etc.",54,169
FEIN 135593032,0000107140,WLY,"JOHN WILEY & SONS, INC.",2731,Books: Publishing or  Publishing & Printing,31-33,167
FEIN 364785571,0001652130,NTLA,"Intellia Therapeutics, Inc.",2835,In Vitro & In Vivo Diagnostic Substances,31-33,167
FEIN 232725311,0000936395,CIEN,CIENA CORP,3661,Telephone & Telegraph Apparatus,31-33,166
FEIN 202888396,0000733269,RAMP,"LiveRamp Holdings, Inc.",7374,Services-Computer Processing & Data Preparation,54,166
FEIN 680438710,0001406666,CALX,"CALIX, INC",4899,"Communications Services, NEC",51,165
Ameren,0001002910,AEE,AMEREN CORP,4931,Electric & Other Services Combined,22,164
FEIN 840273800,0000068622,CTGG,QWEST CORP,4813,Telephone Communications (No Radiotelephone),51,164
FEIN 250730780,0000079879,PPG,PPG INDUSTRIES INC,2851,"Paints, Varnishes, Lacquers, Enamels & Allied Prods",31-33,163
FEIN 900186021,0001723128,AMRX,"Amneal Pharmaceuticals, Inc.",2834,Pharmaceutical Preparations,31-33,163
FEIN 951492269,0000008818,AVY,Avery Dennison Corp,2670,Converted Paper & Paperboard Prods (No Contaners/Boxes),31-33,162
FEIN 742793174,0001038074,SLAB,SILICON LABORATORIES INC.,3674,Semiconductors & Related Devices,31-33,162
FEIN 943166458,0000926326,OMCL,"OMNICELL, INC.",3571,Electronic Computers,31-33,161
FEIN 380442310,0000201533,CMS-PB,CONSUMERS ENERGY CO,4931,Electric & Other Services Combined,22,161
FEIN 340253240,0000042582,GT,GOODYEAR TIRE & RUBBER CO /OH/,3011,Tires & Inner Tubes,31-33,160
FEIN 390875718,0000082811,RRX,REGAL REXNORD CORP,3569,"General Industrial Machinery & Equipment, NEC",31-33,156
FEIN 208980370,0001596967,MC,Moelis & Co,6282,Investment Advice,52,156
FEIN 815463676,0001867729,WRD,WeRide Inc.,7373,Services-Computer Integrated Systems Design,54,156
FEIN 232414041,0001254699,QVCG,"QVC Group, Inc.",5961,Retail-Catalog & Mail-Order Houses,44-45,154
FEIN 710225165,0000100493,TSN,"TYSON FOODS, INC.",2015,Poultry Slaughtering and Processing,31-33,151
Zimmer Biomet,0001136869,ZBH,"ZIMMER BIOMET HOLDINGS, INC.",3842,"Orthopedic, Prosthetic & Surgical Appliances & Supplies",31-33,151
Keurig Dr Pepper,0001418135,KDP,Keurig Dr Pepper Inc.,2080,Beverages,31-33,150
FEIN 541956084,0001441683,APPN,APPIAN CORP,7372,Services-Prepackaged Software,51,148
FEIN 561572719,0000895419,WOLF,"WOLFSPEED, INC.",3674,Semiconductors & Related Devices,31-33,148
FEIN 930256820,0000784977,POR,PORTLAND GENERAL ELECTRIC CO /OR/,4911,Electric Services,22,147
FEIN 470567215,0000935036,ACIW,"ACI WORLDWIDE, INC.",7372,Services-Prepackaged Software,51,146
FEIN 223270030,0000917520,IART,INTEGRA LIFESCIENCES HOLDINGS CORP,3841,Surgical & Medical Instruments & Apparatus,31-33,146
Nokia,0000924613,NOK,NOKIA CORP,3663,Radio & Tv Broadcasting & Communications Equipment,31-33,145
AMERICAN INTERNATIONAL,0000005272,AIG,"AMERICAN INTERNATIONAL GROUP, INC.",6331,"Fire, Marine & Casualty Insurance",52,145
NiSource,0001111711,NI,NISOURCE INC.,4931,Electric & Other Services Combined,22,145
FEIN 050563787,0001232524,JAZZ,Jazz Pharmaceuticals plc,2834,Pharmaceutical Preparations,31-33,145
Kemper,0000860748,KMPR,KEMPER Corp,6331,"Fire, Marine & Casualty Insurance",52,144
FEIN 980081645,0000884887,RCL,ROYAL CARIBBEAN CRUISES LTD,4400,Water Transportation,48-49,143
FEIN 580415192,0002083785,SUNB,"Sunbelt Rentals Holdings, Inc.",7359,"Services-Equipment Rental & Leasing, NEC",56,143
FEIN 232472830,0001520262,ALKS,Alkermes plc.,2834,Pharmaceutical Preparations,31-33,143
FEIN 141896129,0001288469,MXL,"MAXLINEAR, INC",3674,Semiconductors & Related Devices,31-33,143
FEIN 541955550,0001158172,SCOR,"COMSCORE, INC.",7389,"Services-Business Services, NEC",56,143
FEIN 840846841,0000927003,AEIS,ADVANCED ENERGY INDUSTRIES INC,3679,"Electronic Components, NEC",31-33,141
FEIN 410123208,0002065708,ANDG,Andersen Group Inc.,7389,"Services-Business Services, NEC",56,141
FEIN 131102020,0000071691,NYT,NEW YORK TIMES CO,2711,Newspapers: Publishing or  Publishing & Printing,31-33,140
BAKER HUGHES,0001701605,BKR,Baker Hughes Co,3533,Oil & Gas Field Machinery & Equipment,31-33,139
FEIN 131860817,0000073309,NUE,NUCOR CORP,3312,"Steel Works, Blast Furnaces & Rolling Mills (Coke Ovens)",31-33,139
MATCH,0000891103,MTCH,"Match Group, Inc.",7370,"Services-Computer Programming, Data Processing, Etc.",54,139
FEIN 770512121,0001117297,QNST,"QUINSTREET, INC",7389,"Services-Business Services, NEC",56,139
FEIN 383380735,0001670541,ADNT,Adient plc,3714,Motor Vehicle Parts & Accessories,31-33,138
FEIN 770430270,0001078271,EXTR,EXTREME NETWORKS INC,3576,Computer Communications Equipment,31-33,137
Sanofi,0001121404,SNY,Sanofi,2834,Pharmaceutical Preparations,31-33,135
FEIN 680397820,0001048477,BMRN,BIOMARIN PHARMACEUTICAL INC,2834,Pharmaceutical Preparations,31-33,135
FEIN 251695742,0001051470,CCI,CROWN CASTLE INC.,6798,Real Estate Investment Trusts,52,134
FEIN 621443555,0001095565,HSTM,HEALTHSTREAM INC,7370,"Services-Computer Programming, Data Processing, Etc.",54,132
FEIN 351965822,0001224608,CNO,"CNO Financial Group, Inc.",6321,Accident & Health Insurance,52,131
FEIN 720570912,0000066901,EMP,"ENTERGY MISSISSIPPI, LLC",4911,Electric Services,22,130
FEIN 131432060,0000051253,IFF,INTERNATIONAL FLAVORS & FRAGRANCES INC,2860,Industrial Organic Chemicals,31-33,129
FEIN 453264542,0001751008,APP,AppLovin Corp,7370,"Services-Computer Programming, Data Processing, Etc.",54,128
EXELIXIS,0000939767,EXEL,"EXELIXIS, INC.",2836,"Biological Products, (No Diagnostic Substances)",31-33,128
FEIN 260359894,0001433195,APPF,APPFOLIO INC,7372,Services-Prepackaged Software,51,128
FEIN 330022692,0000883984,ICUI,ICU MEDICAL INC/DE,3841,Surgical & Medical Instruments & Apparatus,31-33,128
FEIN 850540903,0001821825,OGN,Organon & Co.,2834,Pharmaceutical Preparations,31-33,128
FEIN 341482024,0001757898,STE,STERIS plc,3842,"Orthopedic, Prosthetic & Surgical Appliances & Supplies",31-33,127
FEIN 261080576,0001777393,CHPT,"ChargePoint Holdings, Inc.",3690,"Miscellaneous Electrical Machinery, Equipment & Supplies",31-33,127
FEIN 863673636,0001699031,GRAL,"GRAIL, Inc.",8071,Services-Medical Laboratories,62,126
FEIN 463955221,0001852131,NXT,Nextpower Inc.,3674,Semiconductors & Related Devices,31-33,125
FEIN 942276314,0000704532,ONTO,ONTO INNOVATION INC.,3829,"Measuring & Controlling Devices, NEC",31-33,123
ECOLAB,0000031462,ECL,ECOLAB INC.,2840,"Soap, Detergents, Cleang Preparations, Perfumes, Cosmetics",31-33,122
PRUDENTIAL,0001116578,PUK,PRUDENTIAL PLC,6311,Life Insurance,52,122
FEIN 410274440,0000040704,GIS,GENERAL MILLS INC,2040,Grain Mill Products,31-33,121
FEIN 852370585,0001682852,MRNA,"Moderna, Inc.",2836,"Biological Products, (No Diagnostic Substances)",31-33,120
KENVUE,0001944048,KVUE,Kenvue Inc.,2844,"Perfumes, Cosmetics & Other Toilet Preparations",31-33,120
MORNINGSTAR,0001289419,MORN,"Morningstar, Inc.",6282,Investment Advice,52,120
FEIN 201446869,0001580808,ATEN,"A10 Networks, Inc.",3576,Computer Communications Equipment,31-33,120
FEIN 043503532,0001526520,TRIP,"TripAdvisor, Inc.",7370,"Services-Computer Programming, Data Processing, Etc.",54,120
Shell,0001306965,SHEL,Shell plc,1311,Crude Petroleum & Natural Gas,21,119
FEIN 230691590,0000047111,HSY,HERSHEY CO,2060,Sugar & Confectionery Products,31-33,119
FEIN 942579683,0000912093,VIAV,VIAVI SOLUTIONS INC.,3674,Semiconductors & Related Devices,31-33,119
FEIN 822138818,0001868941,FLNC,"Fluence Energy, Inc.",3690,"Miscellaneous Electrical Machinery, Equipment & Supplies",31-33,119
FEIN 251795344,0001434621,TREE,"LendingTree, Inc.",6163,Loan Brokers,52,119
FEIN 650723837,0001053507,AMT,AMERICAN TOWER CORP /MA/,6798,Real Estate Investment Trusts,52,118
Markel,0001096343,MKL,MARKEL GROUP INC.,6331,"Fire, Marine & Casualty Insurance",52,118
FEIN 262837597,0001819928,DV,"DoubleVerify Holdings, Inc.",7370,"Services-Computer Programming, Data Processing, Etc.",54,118
FEIN 812256092,0002021728,CBRS,Cerebras Systems Inc.,3674,Semiconductors & Related Devices,31-33,117
FEIN 231210010,0000105770,WST,WEST PHARMACEUTICAL SERVICES INC,3841,Surgical & Medical Instruments & Apparatus,31-33,116
FEIN 581167100,0000004977,AFL,AFLAC INC,6321,Accident & Health Insurance,52,115
ALTRIA,0000764180,MO,"ALTRIA GROUP, INC.",2111,Cigarettes,31-33,114
FEIN 042713778,0000851205,CGNX,COGNEX CORP,3823,"Industrial Instruments For Measurement, Display, and Control",31-33,114
FEIN 770118518,0000817720,SYNA,SYNAPTICS Inc,3674,Semiconductors & Related Devices,31-33,114
FEIN 262841711,0001469367,RUN,Sunrun Inc.,1700,Construction - Special Trade Contractors,23,114
FEIN 364007085,0000940942,HUBG,"Hub Group, Inc.",4731,Arrangement of  Transportation of  Freight & Cargo,48-49,114
FEIN 260199180,0001588978,PRCT,PROCEPT BioRobotics Corp,3841,Surgical & Medical Instruments & Apparatus,31-33,114
FEIN 275026540,0001576942,SFIX,"Stitch Fix, Inc.",5961,Retail-Catalog & Mail-Order Houses,44-45,114
FEIN 042837575,0001078075,NTCT,NETSCOUT SYSTEMS INC,7373,Services-Computer Integrated Systems Design,54,113
CONTEXTLOGIC,0002064307,LOGC,ContextLogic Holdings Inc.,1400,Mining & Quarrying of  Nonmetallic Minerals (No Fuels),21,113
FEIN 760418502,0000860730,HCA,"HCA Healthcare, Inc.",8062,"Services-General Medical & Surgical Hospitals, NEC",62,112
Abercrombie & Fitch,0001018840,ANF,ABERCROMBIE & FITCH CO /DE/,5651,Retail-Family Clothing Stores,44-45,111
FEIN 223265977,0001965040,FTRE,Fortrea Holdings Inc.,8071,Services-Medical Laboratories,62,111
ASTRAZENECA,0000901832,AZN,ASTRAZENECA PLC,2834,Pharmaceutical Preparations,31-33,109
FEIN 362668272,0000062709,MRSH,"MARSH & MCLENNAN COMPANIES, INC.",6411,"Insurance Agents, Brokers & Service",52,109
FEIN 823060021,0001769628,CRWV,"CoreWeave, Inc.",7372,Services-Prepackaged Software,51,109
FEIN 133711155,0001039399,FORM,FORMFACTOR INC,3674,Semiconductors & Related Devices,31-33,109
FEIN 203237489,0001364954,CHGG,"CHEGG, INC",8200,Services-Educational Services,61,109
FEIN 953015862,0000910521,DECK,DECKERS OUTDOOR CORP,3021,Rubber & Plastics Footwear,31-33,108
FEIN 581960019,0000880266,AGCO,AGCO CORP /DE,3523,Farm Machinery & Equipment,31-33,108
VERTEX,0001806837,VERX,"Vertex, Inc.",7372,Services-Prepackaged Software,51,108
FEIN 010393723,0000874716,IDXX,IDEXX LABORATORIES INC /DE,2835,In Vitro & In Vivo Diagnostic Substances,31-33,107
FEIN 941499887,0000814547,FICO,FAIR ISAAC CORP,7389,"Services-Business Services, NEC",56,107
FEIN 520408290,0000063754,MKC,MCCORMICK & CO INC,2090,Miscellaneous Food Preparations & Kindred Products,31-33,107
FEIN 522383166,0001428336,HQY,"HEALTHEQUITY, INC.",7389,"Services-Business Services, NEC",56,107
FEIN 262387410,0000024545,TAP,MOLSON COORS BEVERAGE CO,2082,Malt Beverages,31-33,107
FEIN 010526993,0001309108,WEX,WEX Inc.,7389,"Services-Business Services, NEC",56,107
FEIN 954715639,0001889539,CRBG,"Corebridge Financial, Inc.",6311,Life Insurance,52,105
FEIN 411609563,0001326380,GME,GameStop Corp.,5734,Retail-Computer & Computer Software Stores,44-45,105
FEIN 953936623,0001031308,BSY,BENTLEY SYSTEMS INC,7372,Services-Prepackaged Software,51,105
FEIN 232003332,0000912615,URBN,URBAN OUTFITTERS INC,5651,Retail-Family Clothing Stores,44-45,105
FEIN 814870517,0001699963,LIME,"Neutron Holdings, Inc.",7372,Services-Prepackaged Software,51,105
FEIN 830632724,0001743725,GDYN,"GRID DYNAMICS HOLDINGS, INC.",7372,Services-Prepackaged Software,51,105
FEIN 621539359,0000915389,EMN,EASTMAN CHEMICAL CO,2821,"Plastic Materials, Synth Resins & Nonvulcan Elastomers",31-33,104
FEIN 521990078,0001336917,UAA,"Under Armour, Inc.",2300,Apparel & Other Finishd Prods of  Fabrics & Similar Matl,31-33,104
FEIN 464337682,0001627475,UPWK,"UPWORK, INC",7374,Services-Computer Processing & Data Preparation,54,104
FEIN 541972729,0001104506,INSM,INSMED Inc,2834,Pharmaceutical Preparations,31-33,103
FEIN 208865395,0001679273,LW,"Lamb Weston Holdings, Inc.",2030,"Canned, Frozen & Preservd Fruit, Veg & Food Specialties",31-33,103
FEIN 822688234,0001801198,LEGN,Legend Biotech Corp,2834,Pharmaceutical Preparations,31-33,103
FEIN 770546018,0001337634,STUB,"StubHub Holdings, Inc.",7990,Services-Miscellaneous Amusement & Recreation,71,103
FEIN 453937349,0001866692,AMPL,"Amplitude, Inc.",7372,Services-Prepackaged Software,51,103
FEIN 263118890,0001830214,DNA,"Ginkgo Bioworks Holdings, Inc.",2836,"Biological Products, (No Diagnostic Substances)",31-33,103
FEIN 830385267,0001280263,AMBA,AMBARELLA INC,3674,Semiconductors & Related Devices,31-33,102
FEIN 453337483,0001636422,HCAT,"Health Catalyst, Inc.",7370,"Services-Computer Programming, Data Processing, Etc.",54,102
FEIN 954649492,0001278021,MKTX,MARKETAXESS HOLDINGS INC,6211,"Security Brokers, Dealers & Flotation Companies",52,101
FEIN 453653763,0001809519,GDRX,"GoodRx Holdings, Inc.",7374,Services-Computer Processing & Data Preparation,54,101
FEIN 821204801,0001705110,ANGI,Angi Inc.,7310,Services-Advertising,56,101
FEIN 431128385,0000779152,JKHY,JACK HENRY & ASSOCIATES INC,7373,Services-Computer Integrated Systems Design,54,100
FEIN 204645388,0001463101,ENPH,"Enphase Energy, Inc.",3674,Semiconductors & Related Devices,31-33,100
FEIN 131824190,0000866729,SCHL,SCHOLASTIC CORP,2731,Books: Publishing or  Publishing & Printing,31-33,100
FEIN 753033627,0001668397,MEDP,"Medpace Holdings, Inc.",8731,Services-Commercial Physical & Biological Research,54,99
FEIN 205863224,0001422930,PUBM,"PubMatic, Inc.",7370,"Services-Computer Programming, Data Processing, Etc.",54,98
